county_code,new_timeperiod,lending_club_available,bankruptcy_per_capita,log_bankruptcy,population_estimation,employed_individuals,monthly_earnings,labor_force,medianhouseholdincome,prosper_available,relative_time_m8andbeyond,relative_time_m7,relative_time_m6,relative_time_m5,relative_time_m4,relative_time_m3,relative_time_m2,relative_time_m1,relative_time_0,relative_time_p1,relative_time_p2,relative_time_p3,relative_time_p4,relative_time_p5,relative_time_p6,relative_time_p7,relative_time_p8andbeyond,cem_strata,cem_weights,nonbusiness_bankruptcy_percapita,business_bankruptcy_percapita,lc_available_internet_score,internet_access_score
16003,27,0,0,0,3.848,.824,2.813,1.6799999,40.777,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1.1870967,0,0,0,1
16003,28,0,0,0,3.848,.82599998,2.987,1.6799999,40.777,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,1.1870967,0,0,0,1
16007,1,0,.34393808,1.0986123,5.8150001,1.38,1.926,3.302,40.589001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.34393808,0,0,1
16007,2,0,0,0,5.8150001,1.354,2.158,3.302,40.589001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,0,0,0,1
16007,3,0,.68787616,1.6094379,5.8150001,1.395,2.1070001,3.302,40.589001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.68787616,0,0,1
16007,4,0,.68787616,1.6094379,5.8150001,1.3940001,2.0710001,3.302,40.589001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.51590711,7.4626865,0,1
16007,5,0,.69276065,1.6094379,5.7740002,1.393,1.99,3.365,42.199001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.69276065,0,0,3
16007,6,0,1.2123312,2.0794415,5.7740002,1.339,2.342,3.365,42.199001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,1.2123312,0,0,3
16007,7,0,.69276065,1.6094379,5.7740002,1.339,2.0550001,3.365,42.199001,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.69276065,0,0,3
16007,8,0,.51957047,1.3862944,5.7740002,1.304,2.2750001,3.365,42.199001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.51957047,0,0,3
16007,9,0,.83654004,1.7917595,5.9770002,1.278,2.2509999,2.8840001,39.469002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.83654004,0,0,4
16007,10,0,.83654004,1.7917595,5.9770002,1.308,2.471,2.8840001,39.469002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.83654004,0,0,4
16007,11,0,1.0038481,1.9459101,5.9770002,1.308,2.2780001,2.8840001,39.469002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,1.0038481,0,0,4
16007,12,0,1.0038481,1.9459101,5.9770002,1.318,2.3599999,2.8840001,39.469002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.83654004,7.8740158,0,4
16007,13,0,.83850414,1.7917595,5.9629998,1.358,2.135,2.921,42.327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.83850414,0,0,1
16007,14,0,2.1801107,2.6390574,5.9629998,1.347,2.312,2.921,42.327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,2.1801107,0,0,1
16007,15,0,.67080331,1.6094379,5.9629998,1.3559999,2.3280001,2.921,42.327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.67080331,0,0,1
16007,16,0,.50310248,1.3862944,5.9629998,1.321,2.405,2.921,42.327,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.50310248,0,0,1
16007,17,0,.84745765,1.7917595,5.9000001,1.325,2.2609999,2.881,42.133999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.84745765,0,0,4
16007,18,0,.16949153,.69314718,5.9000001,1.307,2.4070001,2.881,42.133999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.16949153,0,0,4
16007,19,0,.67796612,1.6094379,5.9000001,1.323,2.2539999,2.881,42.133999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.67796612,0,0,4
16007,20,0,0,0,5.9000001,1.332,2.4389999,2.881,42.133999,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,0,0,0,4
16007,21,0,.50377834,1.3862944,5.9549999,1.294,2.1949999,2.888,45.589001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.50377834,0,0,1
16007,22,0,.67170447,1.6094379,5.9549999,1.303,2.448,2.888,45.589001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.50377834,8.5470085,0,1
16007,23,0,.67170447,1.6094379,5.9549999,1.319,2.1919999,2.888,45.589001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.50377834,8.5470085,0,1
16007,24,0,.33585224,1.0986123,5.9549999,1.367,2.346,2.888,45.589001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.16792612,8.5470085,0,1
16007,25,0,.50377834,1.3862944,5.9549999,1.313,2.168,2.8659999,45.504002,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,.74193549,.50377834,0,0,3
